UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
Q8BH51,COX14_MOUSE,Cytochrome c oxidase assembly protein COX14 OS=Mus musculus GN=Cox14 PE=2 SV=1 - [COX14_MOUSE],1,1,2,1,0.001,0.024,0.023,0.013,0.041,0.091,0.305,0.230,0.064,0.210,0.004,0.017,0.017,0.019,0.035,0.076,0.425,0.225,0.063,0.119,unknown,unknown,unknown,unknown,Mitochondrion,0.978,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q8BK63,KC1A_MOUSE,Casein kinase I isoform alpha OS=Mus musculus GN=Csnk1a1 PE=2 SV=2 - [KC1A_MOUSE],1,1,2,2,0.164,0.075,0.085,0.030,0.106,0.095,0.075,0.098,0.146,0.128,0.149,0.078,0.083,0.078,0.095,0.087,0.079,0.046,0.146,0.159,unknown,unknown,unknown,unknown,60S Ribosome,0.469,60S Ribosome,unclassified,N,,,,,,,Prey,,
Q8BMJ3,IF1AX_MOUSE,"Eukaryotic translation initiation factor 1A, X-chromosomal OS=Mus musculus GN=Eif1ax PE=2 SV=3 - [IF1AX_MOUSE]",1,2,2,2,0.354,0.016,0.039,0.014,0.036,0.065,0.117,0.120,0.077,0.161,0.349,0.045,0.071,0.052,0.048,0.037,0.039,0.032,0.081,0.247,unknown,unknown,unknown,unknown,40S Ribosome,0.347,unclassified,unclassified,Y,,,,,,,,,
Q8BQ47,CNPY4_MOUSE,Protein canopy homolog 4 OS=Mus musculus GN=Cnpy4 PE=1 SV=1 - [CNPY4_MOUSE],1,4,2,4,0.039,0.049,0.065,0.028,0.087,0.344,0.172,0.080,0.045,0.091,0.026,0.054,0.091,0.121,0.179,0.275,0.143,0.086,0.007,0.018,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.836,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q8BQS5,ADR2_MOUSE,Adiponectin receptor protein 2 OS=Mus musculus GN=Adipor2 PE=2 SV=2 - [ADR2_MOUSE],1,2,2,2,0.000,0.070,0.040,0.045,0.135,0.214,0.151,0.182,0.002,0.160,0.003,0.097,0.088,0.153,0.211,0.229,0.127,0.066,0.008,0.019,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.927,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Y,,,,,,,,,
Q8BVF7-2,APH1A_MOUSE,Isoform 2 of Gamma-secretase subunit APH-1A OS=Mus musculus GN=Aph1a - [APH1A_MOUSE],1,2,2,4,0.002,0.118,0.140,0.131,0.259,0.162,0.096,0.049,0.003,0.040,0.001,0.130,0.139,0.179,0.201,0.198,0.107,0.034,0.008,0.003,unknown,unknown,unknown,unknown,Endosome,0.428,unclassified,unclassified,N,,,,,Notch,,,,
Q8BWZ3,NAA25_MOUSE,"N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Mus musculus GN=Naa25 PE=1 SV=1 - [NAA25_MOUSE]",1,1,2,1,0.129,0.076,0.086,0.039,0.043,0.055,0.073,0.191,0.082,0.227,0.093,0.089,0.058,0.093,0.099,0.065,0.086,0.082,0.102,0.232,unknown,unknown,unknown,unknown,60S Ribosome,0.572,60S Ribosome,unclassified,Y,,,,,,,,,
Q8BYP3,RHOF_MOUSE,Rho-related GTP-binding protein RhoF OS=Mus musculus GN=Rhof PE=2 SV=1 - [RHOF_MOUSE],1,2,2,3,0.054,0.315,0.177,0.154,0.162,0.069,0.010,0.008,0.013,0.038,0.003,0.193,0.123,0.127,0.199,0.122,0.134,0.041,0.025,0.032,unknown,unknown,unknown,unknown,Plasma membrane,0.710,unclassified,Plasma membrane,N,,,,,,,,,
Q8CHC8,ADNP2_MOUSE,ADNP homeobox protein 2 OS=Mus musculus GN=Adnp2 PE=2 SV=2 - [ADNP2_MOUSE],1,3,2,3,0.035,0.006,0.005,0.000,0.007,0.034,0.126,0.234,0.317,0.237,0.038,0.013,0.031,0.042,0.048,0.029,0.116,0.153,0.370,0.161,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.780,unclassified,Nucleus - Chromatin,N,,,,,,,,,
Q8K273,MMGT1_MOUSE,Membrane magnesium transporter 1 OS=Mus musculus GN=Mmgt1 PE=2 SV=1 - [MMGT1_MOUSE],1,2,2,3,0.000,0.050,0.060,0.042,0.113,0.286,0.159,0.129,0.053,0.108,0.002,0.050,0.069,0.108,0.149,0.245,0.168,0.118,0.064,0.027,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.938,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q8K3K7,PLCB_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase beta OS=Mus musculus GN=Agpat2 PE=1 SV=1 - [PLCB_MOUSE],1,5,2,7,0.004,0.074,0.067,0.058,0.168,0.199,0.105,0.163,0.019,0.143,0.010,0.069,0.086,0.128,0.220,0.231,0.118,0.089,0.020,0.028,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.927,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q8K5B2,MCFD2_MOUSE,Multiple coagulation factor deficiency protein 2 homolog OS=Mus musculus GN=Mcfd2 PE=2 SV=1 - [MCFD2_MOUSE],1,1,2,2,0.000,0.022,0.029,0.047,0.124,0.286,0.190,0.153,0.005,0.144,0.002,0.038,0.078,0.119,0.198,0.311,0.143,0.097,0.005,0.009,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.906,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q8R2Y0-2,ABHD6_MOUSE,Isoform 2 of Monoacylglycerol lipase ABHD6 OS=Mus musculus GN=Abhd6 - [ABHD6_MOUSE],1,2,2,3,0.000,0.069,0.054,0.045,0.107,0.285,0.157,0.144,0.000,0.140,0.020,0.060,0.087,0.127,0.159,0.250,0.129,0.115,0.022,0.031,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.948,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q8R395,COMD5_MOUSE,COMM domain-containing protein 5 OS=Mus musculus GN=Commd5 PE=2 SV=1 - [COMD5_MOUSE],1,3,2,4,0.059,0.097,0.135,0.111,0.272,0.130,0.044,0.056,0.017,0.080,0.030,0.055,0.072,0.158,0.271,0.229,0.061,0.029,0.016,0.081,unknown,unknown,unknown,unknown,Endosome,0.488,unclassified,unclassified,N,,,,,,,,,
Q8R3R5,T185B_MOUSE,Transmembrane protein 185B OS=Mus musculus GN=Tmem185b PE=2 SV=1 - [T185B_MOUSE],1,1,2,2,0.006,0.261,0.178,0.123,0.172,0.128,0.056,0.040,0.007,0.030,0.003,0.144,0.126,0.173,0.218,0.189,0.097,0.029,0.013,0.006,unknown,unknown,unknown,unknown,Plasma membrane,0.848,Plasma membrane,Plasma membrane,Y,,,,,,,,,
Q8R409,HEXI1_MOUSE,Protein HEXIM1 OS=Mus musculus GN=Hexim1 PE=1 SV=1 - [HEXI1_MOUSE],1,1,2,1,0.563,0.039,0.062,0.010,0.028,0.038,0.021,0.021,0.118,0.098,0.327,0.042,0.043,0.025,0.054,0.039,0.050,0.035,0.072,0.312,unknown,unknown,unknown,unknown,40S Ribosome,0.287,unclassified,unclassified,N,,,,,,,,,
Q8VCE2,GPN1_MOUSE,GPN-loop GTPase 1 OS=Mus musculus GN=Gpn1 PE=1 SV=1 - [GPN1_MOUSE],1,2,2,3,0.486,0.150,0.126,0.048,0.047,0.057,0.021,0.031,0.012,0.022,0.388,0.108,0.134,0.116,0.101,0.067,0.033,0.023,0.015,0.015,unknown,unknown,unknown,unknown,Cytosol,0.874,Cytosol,Cytosol,Y,,,,,,,,,
Q8VD00,TMM97_MOUSE,Transmembrane protein 97 OS=Mus musculus GN=Tmem97 PE=2 SV=1 - [TMM97_MOUSE],1,1,2,2,0.000,0.130,0.139,0.065,0.127,0.168,0.110,0.114,0.026,0.121,0.001,0.089,0.073,0.140,0.189,0.181,0.180,0.082,0.034,0.029,unknown,unknown,unknown,unknown,Extracellular matrix,0.319,unclassified,unclassified,N,,,,,,,,,
Q8VHX6-2,FLNC_MOUSE,Isoform 2 of Filamin-C OS=Mus musculus GN=Flnc - [FLNC_MOUSE],1,7,2,10,0.065,0.160,0.093,0.057,0.078,0.093,0.089,0.156,0.072,0.137,0.070,0.094,0.099,0.102,0.109,0.109,0.112,0.102,0.132,0.070,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.229,unclassified,unclassified,N,,,,,,,,,
Q91WE2,F192A_MOUSE,Protein FAM192A OS=Mus musculus GN=Fam192a PE=2 SV=1 - [F192A_MOUSE],1,2,2,3,0.365,0.095,0.095,0.057,0.050,0.085,0.070,0.052,0.079,0.052,0.677,0.045,0.065,0.039,0.046,0.026,0.020,0.000,0.044,0.039,unknown,unknown,unknown,unknown,Cytosol,0.266,unclassified,unclassified,N,,,,,,,,,
Q920Q6-3,MSI2H_MOUSE,Isoform 3 of RNA-binding protein Musashi homolog 2 OS=Mus musculus GN=Msi2 - [MSI2H_MOUSE],1,4,2,5,0.248,0.057,0.064,0.009,0.043,0.041,0.036,0.084,0.221,0.198,0.119,0.034,0.061,0.065,0.051,0.102,0.072,0.065,0.165,0.267,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.300,unclassified,unclassified,N,,,,,,,,,
Q99LG4,TTC5_MOUSE,Tetratricopeptide repeat protein 5 OS=Mus musculus GN=Ttc5 PE=1 SV=2 - [TTC5_MOUSE],1,2,2,4,0.399,0.106,0.101,0.042,0.106,0.018,0.041,0.064,0.010,0.114,0.339,0.086,0.104,0.089,0.083,0.068,0.030,0.023,0.028,0.150,unknown,unknown,unknown,unknown,Proteasome,0.252,unclassified,unclassified,N,,,,,,,,,
Q99PG2,OGFR_MOUSE,Opioid growth factor receptor OS=Mus musculus GN=Ogfr PE=2 SV=1 - [OGFR_MOUSE],1,3,2,5,0.555,0.034,0.070,0.037,0.062,0.086,0.049,0.037,0.018,0.053,0.565,0.079,0.122,0.080,0.068,0.047,0.015,0.013,0.006,0.006,unknown,unknown,unknown,unknown,Proteasome,0.558,unclassified,unclassified,N,,,,,,,,,
Q9CPV5-2,PMF1_MOUSE,Isoform 2 of Polyamine-modulated factor 1 OS=Mus musculus GN=Pmf1 - [PMF1_MOUSE],1,2,2,3,0.240,0.080,0.080,0.007,0.009,0.013,0.063,0.154,0.222,0.131,0.199,0.048,0.062,0.063,0.045,0.044,0.062,0.087,0.303,0.088,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.368,unclassified,unclassified,N,,,,,,,,,
Q9CQ86,MIEN1_MOUSE,Migration and invasion enhancer 1 OS=Mus musculus GN=Mien1 PE=1 SV=1 - [MIEN1_MOUSE],1,2,2,2,0.535,0.120,0.122,0.053,0.067,0.037,0.025,0.034,0.003,0.006,0.361,0.099,0.125,0.082,0.102,0.079,0.078,0.032,0.010,0.031,unknown,unknown,unknown,unknown,Cytosol,0.812,unclassified,Cytosol,N,,,,,,,,,
Q9CQ89,CUTA_MOUSE,Protein CutA OS=Mus musculus GN=Cuta PE=2 SV=3 - [CUTA_MOUSE],1,1,2,3,0.307,0.168,0.163,0.030,0.052,0.086,0.105,0.054,0.000,0.036,0.273,0.075,0.123,0.113,0.091,0.120,0.086,0.082,0.010,0.027,unknown,unknown,unknown,unknown,Cytosol,0.444,unclassified,unclassified,Y,,,,,,,,,
Q9CQA9,NTPCR_MOUSE,Cancer-related nucleoside-triphosphatase homolog OS=Mus musculus GN=Ntpcr PE=2 SV=1 - [NTPCR_MOUSE],1,1,2,1,0.125,0.026,0.117,0.018,0.024,0.071,0.186,0.140,0.135,0.159,0.171,0.054,0.075,0.065,0.052,0.083,0.082,0.095,0.114,0.210,unknown,unknown,unknown,unknown,60S Ribosome,0.426,60S Ribosome,unclassified,Y,,,,,,,,,
Q9CQJ2,PIHD1_MOUSE,PIH1 domain-containing protein 1 OS=Mus musculus GN=Pih1d1 PE=2 SV=1 - [PIHD1_MOUSE],1,1,2,2,0.273,0.006,0.051,0.010,0.022,0.029,0.025,0.206,0.130,0.249,0.139,0.190,0.090,0.074,0.099,0.062,0.080,0.040,0.069,0.156,unknown,unknown,unknown,unknown,Mitochondrion,0.128,unclassified,unclassified,Y,,,,,,,,,
Q9CQP3,CHCH5_MOUSE,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5 OS=Mus musculus GN=Chchd5 PE=3 SV=1 - [CHCH5_MOUSE],1,1,2,5,0.054,0.024,0.030,0.026,0.029,0.103,0.269,0.237,0.006,0.222,0.021,0.011,0.016,0.022,0.035,0.100,0.379,0.313,0.000,0.103,unknown,unknown,unknown,unknown,Mitochondrion,0.979,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9CQX8,RT36_MOUSE,"28S ribosomal protein S36, mitochondrial OS=Mus musculus GN=Mrps36 PE=1 SV=1 - [RT36_MOUSE]",1,1,2,2,0.004,0.027,0.015,0.003,0.022,0.105,0.310,0.231,0.031,0.252,0.004,0.008,0.011,0.012,0.021,0.121,0.342,0.304,0.050,0.127,unknown,unknown,unknown,unknown,Mitochondrion,0.980,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9CQY6,MNF1_MOUSE,Mitochondrial nucleoid factor 1 OS=Mus musculus GN=Mnf1 PE=1 SV=1 - [MNF1_MOUSE],1,3,2,4,0.000,0.015,0.015,0.018,0.023,0.100,0.345,0.212,0.074,0.198,0.000,0.011,0.011,0.020,0.031,0.098,0.339,0.284,0.075,0.132,unknown,unknown,unknown,unknown,Mitochondrion,0.973,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9CR59,G45IP_MOUSE,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Mus musculus GN=Gadd45gip1 PE=2 SV=1 - [G45IP_MOUSE],1,1,2,3,0.000,0.002,0.005,0.006,0.027,0.078,0.274,0.296,0.055,0.257,0.002,0.009,0.011,0.015,0.027,0.094,0.387,0.238,0.071,0.146,unknown,unknown,unknown,unknown,Mitochondrion,0.985,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9CRC0,VKOR1_MOUSE,Vitamin K epoxide reductase complex subunit 1 OS=Mus musculus GN=Vkorc1 PE=2 SV=1 - [VKOR1_MOUSE],1,1,2,2,0.000,0.060,0.077,0.056,0.134,0.191,0.101,0.195,0.024,0.163,0.005,0.104,0.091,0.110,0.207,0.164,0.182,0.081,0.028,0.028,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.843,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9CRC6,CJ032_MOUSE,UPF0693 protein C10orf32 homolog OS=Mus musculus PE=1 SV=1 - [CJ032_MOUSE],1,2,2,3,0.004,0.113,0.215,0.114,0.190,0.153,0.072,0.083,0.003,0.052,0.010,0.071,0.114,0.243,0.295,0.183,0.049,0.023,0.006,0.005,unknown,unknown,unknown,unknown,Lysosome,0.414,unclassified,unclassified,Y,,,,,,,,,
Q9CTH6,FCF1_MOUSE,rRNA-processing protein FCF1 homolog OS=Mus musculus GN=Fcf1 PE=2 SV=2 - [FCF1_MOUSE],1,5,2,5,0.146,0.002,0.011,0.002,0.028,0.011,0.053,0.265,0.255,0.227,0.102,0.013,0.025,0.034,0.039,0.053,0.061,0.073,0.343,0.256,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.701,unclassified,Nucleus - Non-chromatin,N,,,,,,,,,
Q9CWV6,PKRI1_MOUSE,PRKR-interacting protein 1 OS=Mus musculus GN=Prkrip1 PE=1 SV=2 - [PKRI1_MOUSE],1,1,2,2,0.297,0.019,0.024,0.010,0.010,0.031,0.039,0.108,0.268,0.195,0.330,0.007,0.028,0.009,0.015,0.024,0.021,0.027,0.256,0.282,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.784,unclassified,Nucleus - Non-chromatin,N,,,,,,,,,
Q9CWX4,RUSD4_MOUSE,RNA pseudouridylate synthase domain-containing protein 4 OS=Mus musculus GN=Rpusd4 PE=2 SV=1 - [RUSD4_MOUSE],1,6,2,6,0.032,0.002,0.002,0.000,0.020,0.067,0.198,0.290,0.102,0.286,0.014,0.026,0.019,0.022,0.049,0.115,0.336,0.218,0.057,0.146,unknown,unknown,unknown,unknown,Mitochondrion,0.960,unclassified,Mitochondrion,N,,,,,,,,,
Q9CX84,RGS19_MOUSE,Regulator of G-protein signaling 19 OS=Mus musculus GN=Rgs19 PE=2 SV=1 - [RGS19_MOUSE],1,1,2,1,0.005,0.369,0.228,0.129,0.127,0.075,0.032,0.017,0.010,0.006,0.006,0.189,0.196,0.199,0.157,0.154,0.052,0.026,0.017,0.004,unknown,unknown,unknown,unknown,Plasma membrane,0.794,unclassified,Plasma membrane,N,,,,,,,,,
Q9D0P0,EBPL_MOUSE,Emopamil-binding protein-like OS=Mus musculus GN=Ebpl PE=2 SV=1 - [EBPL_MOUSE],1,1,2,1,0.002,0.094,0.081,0.047,0.122,0.205,0.125,0.154,0.040,0.130,0.017,0.110,0.083,0.112,0.205,0.163,0.169,0.073,0.045,0.024,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.823,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9D8S4,ORN_MOUSE,"Oligoribonuclease, mitochondrial OS=Mus musculus GN=Rexo2 PE=1 SV=2 - [ORN_MOUSE]",1,5,2,9,0.137,0.018,0.028,0.015,0.034,0.091,0.232,0.220,0.009,0.216,0.134,0.026,0.035,0.033,0.032,0.101,0.280,0.240,0.012,0.106,unknown,unknown,unknown,unknown,Mitochondrion,0.931,unclassified,Mitochondrion,N,,,,,,,,,
Q9DBG9,TX1B3_MOUSE,Tax1-binding protein 3 OS=Mus musculus GN=Tax1bp3 PE=1 SV=1 - [TX1B3_MOUSE],1,1,2,1,0.046,0.433,0.247,0.095,0.059,0.033,0.043,0.012,0.017,0.014,0.058,0.121,0.136,0.113,0.154,0.107,0.114,0.056,0.065,0.077,unknown,unknown,unknown,unknown,Plasma membrane,0.274,unclassified,unclassified,N,,,,,,,,,
Q9ERD7,TBB3_MOUSE,Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1 - [TBB3_MOUSE],1,3,2,9,0.544,0.113,0.096,0.071,0.034,0.029,0.000,0.000,0.056,0.057,0.376,0.116,0.130,0.119,0.108,0.072,0.030,0.015,0.019,0.015,unknown,unknown,unknown,unknown,Cytosol,0.762,unclassified,Cytosol,N,,Tubulins,,60S anaphase promoting complex,,,,,
Q9ERE8,MESD1_MOUSE,Mesoderm development candidate 1 OS=Mus musculus GN=Mesdc1 PE=1 SV=1 - [MESD1_MOUSE],1,2,2,4,0.017,0.341,0.191,0.089,0.093,0.084,0.055,0.057,0.022,0.052,0.009,0.243,0.160,0.179,0.181,0.101,0.050,0.019,0.034,0.023,unknown,unknown,unknown,unknown,Plasma membrane,0.688,unclassified,Plasma membrane,Y,,,,,,,,,
Q9JHJ3,NCUG1_MOUSE,Lysosomal protein NCU-G1 OS=Mus musculus PE=1 SV=1 - [NCUG1_MOUSE],1,2,2,3,0.000,0.113,0.131,0.176,0.452,0.090,0.017,0.020,0.000,0.000,0.016,0.099,0.127,0.218,0.275,0.124,0.075,0.021,0.021,0.025,unknown,unknown,unknown,unknown,Lysosome,0.421,unclassified,unclassified,N,,,,,,,,,
Q9JIX0,ENY2_MOUSE,Enhancer of yellow 2 transcription factor homolog OS=Mus musculus GN=Eny2 PE=2 SV=1 - [ENY2_MOUSE],1,2,2,2,0.235,0.048,0.044,0.014,0.023,0.035,0.080,0.156,0.211,0.155,0.219,0.034,0.052,0.032,0.043,0.038,0.058,0.054,0.334,0.135,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.513,unclassified,unclassified,N,,,,,,,,,
Q9JM96,BORG4_MOUSE,Cdc42 effector protein 4 OS=Mus musculus GN=Cdc42ep4 PE=1 SV=1 - [BORG4_MOUSE],1,1,2,1,0.034,0.260,0.151,0.074,0.118,0.072,0.054,0.112,0.034,0.090,0.040,0.183,0.095,0.113,0.150,0.099,0.092,0.059,0.066,0.103,unknown,unknown,unknown,unknown,Actin cytoskeleton,0.276,unclassified,unclassified,N,,,,,,,,,High Confidence
Q9QZN4,FBX6_MOUSE,F-box only protein 6 OS=Mus musculus GN=Fbxo6 PE=1 SV=1 - [FBX6_MOUSE],1,2,2,3,0.224,0.187,0.084,0.083,0.110,0.075,0.049,0.118,0.006,0.065,0.147,0.132,0.116,0.108,0.149,0.117,0.109,0.053,0.021,0.047,unknown,unknown,unknown,unknown,Cytosol,0.153,unclassified,unclassified,Y,,,,,,,,,
Q9Z1Q2,ABHGA_MOUSE,Abhydrolase domain-containing protein 16A OS=Mus musculus GN=Abhd16a PE=1 SV=3 - [ABHGA_MOUSE],1,2,2,4,0.009,0.012,0.052,0.010,0.169,0.248,0.150,0.187,0.000,0.163,0.030,0.061,0.077,0.133,0.127,0.261,0.144,0.106,0.014,0.048,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.899,unclassified,Endoplasmic reticulum/Golgi apparatus,Y,,,,,,,,,
Q9Z222,B3GN2_MOUSE,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 OS=Mus musculus GN=B3gnt2 PE=1 SV=3 - [B3GN2_MOUSE]",1,1,2,1,0.056,0.038,0.095,0.043,0.165,0.213,0.122,0.129,0.020,0.117,0.003,0.050,0.113,0.212,0.183,0.224,0.088,0.079,0.034,0.015,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.762,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9Z2A7,DGAT1_MOUSE,Diacylglycerol O-acyltransferase 1 OS=Mus musculus GN=Dgat1 PE=1 SV=1 - [DGAT1_MOUSE],1,2,2,3,0.001,0.028,0.027,0.031,0.110,0.232,0.164,0.212,0.045,0.150,0.006,0.054,0.069,0.094,0.159,0.219,0.137,0.133,0.081,0.047,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.900,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
A2A9F4,CA172_MOUSE,Uncharacterized protein C1orf172 homolog OS=Mus musculus PE=2 SV=1 - [CA172_MOUSE],1,2,1,3,0.045,0.270,0.090,0.128,0.165,0.151,0.044,0.059,0.000,0.050,0.003,0.186,0.128,0.144,0.167,0.166,0.139,0.035,0.013,0.018,unknown,unknown,unknown,unknown,Plasma membrane,0.660,unclassified,Plasma membrane,Y,,,,,,,,,Putative
A2ADA5,PUSL1_MOUSE,tRNA pseudouridine synthase-like 1 OS=Mus musculus GN=Pusl1 PE=2 SV=1 - [PUSL1_MOUSE],1,1,1,2,0.000,0.000,0.000,0.000,0.018,0.060,0.181,0.378,0.067,0.297,0.010,0.017,0.012,0.016,0.042,0.088,0.443,0.193,0.029,0.151,unknown,unknown,unknown,unknown,Mitochondrion,0.957,unclassified,Mitochondrion,Y,,,,,,,,,
A2AG58-2,CX023_MOUSE,Isoform 2 of Uncharacterized protein CXorf23 homolog OS=Mus musculus - [CX023_MOUSE],1,2,1,2,0.128,0.015,0.036,0.038,0.120,0.061,0.092,0.108,0.180,0.221,0.050,0.018,0.010,0.018,0.033,0.029,0.034,0.036,0.265,0.508,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.338,unclassified,unclassified,N,,,,,,,,,
A2AJI0-2,MA7D1_MOUSE,Isoform 2 of MAP7 domain-containing protein 1 OS=Mus musculus GN=Map7d1 - [MA7D1_MOUSE],1,2,1,2,0.124,0.123,0.117,0.056,0.065,0.095,0.127,0.085,0.093,0.118,0.132,0.074,0.083,0.075,0.079,0.103,0.084,0.098,0.133,0.138,unknown,unknown,unknown,unknown,60S Ribosome,0.343,unclassified,unclassified,N,,,,,,,,,
A2ALK8,PTN3_MOUSE,Tyrosine-protein phosphatase non-receptor type 3 OS=Mus musculus GN=Ptpn3 PE=2 SV=1 - [PTN3_MOUSE],1,1,1,1,0.062,0.318,0.192,0.148,0.153,0.076,0.016,0.019,0.000,0.016,0.049,0.161,0.190,0.174,0.146,0.143,0.068,0.049,0.000,0.019,unknown,unknown,unknown,unknown,Plasma membrane,0.580,unclassified,unclassified,N,,,,,,,,,
A2APY7,NDUF5_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 OS=Mus musculus GN=Ndufaf5 PE=2 SV=1 - [NDUF5_MOUSE],1,1,1,1,0.022,0.021,0.049,0.023,0.057,0.080,0.140,0.318,0.000,0.291,0.000,0.033,0.057,0.032,0.069,0.099,0.367,0.183,0.021,0.139,unknown,unknown,unknown,unknown,Mitochondrion,0.710,unclassified,Mitochondrion,N,,,,,,,,,
A2ASZ8-2,SCMC2_MOUSE,Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-2 OS=Mus musculus GN=Slc25a25 - [SCMC2_MOUSE],1,3,1,3,0.000,0.016,0.038,0.039,0.042,0.094,0.295,0.193,0.092,0.191,0.003,0.014,0.018,0.023,0.029,0.121,0.305,0.294,0.080,0.112,unknown,unknown,unknown,unknown,Mitochondrion,0.961,unclassified,Mitochondrion,N,,,,,,,,,
A2RSY1-3,KANL3_MOUSE,Isoform 3 of KAT8 regulatory NSL complex subunit 3 OS=Mus musculus GN=Kansl3 - [KANL3_MOUSE],1,2,1,3,0.043,0.000,0.000,0.000,0.000,0.041,0.087,0.277,0.319,0.234,0.087,0.015,0.023,0.032,0.047,0.062,0.092,0.109,0.363,0.169,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.730,unclassified,Nucleus - Chromatin,N,,,,,,,,,
A3KGW5,GT253_MOUSE,Probable inactive glycosyltransferase 25 family member 3 OS=Mus musculus GN=Cercam PE=2 SV=1 - [GT253_MOUSE],1,1,1,1,0.000,0.084,0.102,0.063,0.106,0.313,0.176,0.069,0.000,0.089,0.018,0.051,0.084,0.133,0.170,0.263,0.154,0.097,0.008,0.022,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.854,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
A6H5X4-3,PH11L_MOUSE,Isoform 3 of PHD finger protein 11-like OS=Mus musculus GN=Phf11l - [PH11L_MOUSE],1,1,1,1,0.209,0.056,0.053,0.029,0.050,0.043,0.048,0.131,0.234,0.148,0.085,0.026,0.041,0.038,0.037,0.049,0.077,0.132,0.400,0.114,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.342,unclassified,unclassified,Y,,,,,,,,,
